Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000610809453814865,0.162582918364251,-0.1654384203084,0,0,0,2.03290862810658,0.0157494672417558,4.09597593842855E-05,-4.67703603305006E-11,0.00862299314586213,-1.77040423339248E-11,0.0122062172223626,0,0,0,0,0,0,package://proto_type_5/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://proto_type_5/meshes/base_link.STL,,thruster_mount_whole-1;thruster_mount_whole-2;pressure_vessel-1;board_assembly-1;board_assembly-2;mocap_mount-1/mocap_stick_holder-1;mocap_mount-1/mocap_stick-1;mocap_mount-1/mocap_space-1;mocap_mount-1/mocap_space-2,座標系9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
t1,-0.0142922441748077,-0.0143000152096667,0.0177167300551074,0,0,0,0.0993924873704976,7.91541243410576E-05,6.1394710344996E-08,-3.7817205620643E-06,7.91363117743542E-05,-3.8040185353616E-06,7.67197078218331E-05,0,0,0,0,0,0,package://proto_type_5/meshes/t1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_5/meshes/t1.STL,,CFMX141-2,座標系1,thruster_0,l1,fixed,0.109644792463,0.0969168704010846,-0.281585755800402,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust1,4.341E-13,1.1256E-12,-0.001,0,0,0,0.0028342,6.5251E-07,-3.7984E-21,-3.8381E-22,6.5251E-07,-4.4999E-22,1.3031E-06,0,0,0,0,0,0,package://proto_type_5/meshes/thrust1.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_5/meshes/thrust1.STL,,propeller-15,座標系33,thruster_0,rotor1,continuous,0,0,0,-2.4569,-0.42053,-0.32175,t1,0,0,1,,,,,,,,,,,,
t2,-0.0143000152083121,0.0142922441734263,0.0177167300550675,0,0,0,0.099392487370497,7.91363117743929E-05,-6.13947103527403E-08,-3.80401853537244E-06,7.91541243410998E-05,3.78172056207492E-06,7.67197078218827E-05,0,0,0,0,0,0,package://proto_type_5/meshes/t2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_5/meshes/t2.STL,,CFMX141-3,座標系3,thruster_2,l2,fixed,0.10964,-0.096917,-0.28159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust2,-4.5031E-13,-1.1389E-12,0.001,0,0,0,0.0028342,6.5251E-07,5.7836E-21,2.647E-23,6.5251E-07,-3.4411E-22,1.3031E-06,0,0,0,0,0,0,package://proto_type_5/meshes/thrust2.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_5/meshes/thrust2.STL,,propeller-13,座標系35,thruster_2,rotor2,continuous,0,0,0,-0.68472,-0.42053,0.32175,t2,0,0,-1,,,,,,,,,,,,
t3,0.014292244174808,0.0143000152068432,0.0177167300551437,0,0,0,0.099392487370502,7.91541243411461E-05,6.1394710360004E-08,3.78172056208685E-06,7.91363117744406E-05,3.80401853538433E-06,7.67197078219415E-05,0,0,0,0,0,0,package://proto_type_5/meshes/t3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_5/meshes/t3.STL,,CFMX141-4,座標系4,thruster_3,l3,fixed,-0.10964,-0.096917,-0.28159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust3,3.65929508916452E-13,-1.19872167747559E-12,0.000999999999298007,0,0,0,0.00283424938765202,6.52506444943008E-07,1.40289831888993E-21,-2.38228016415272E-22,6.52506444943005E-07,7.94093388050907E-23,1.30312339029424E-06,0,0,0,0,0,0,package://proto_type_5/meshes/thrust3.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_5/meshes/thrust3.STL,,propeller-11,座標系36,thruster_3,rotor3,continuous,0,0,0,-0.68472,0.42053,-0.32175,t3,0,0,1,,,,,,,,,,,,
t4,0.0143000152083128,-0.0142922441762693,0.017716730055045,0,0,0,0.0993924873704986,7.91363117743514E-05,-6.13947103452402E-08,3.80401853536186E-06,7.91541243410573E-05,-3.78172056206365E-06,7.67197078218372E-05,0,0,0,0,0,0,package://proto_type_5/meshes/t4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_5/meshes/t4.STL,,CFMX141-1,座標系2,thruster_1,l4,fixed,-0.10964,0.096917,-0.28159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust4,-3.60711460700713E-13,-1.19552978627979E-12,0.00100000000069372,0,0,0,0.00283424938765201,6.52506444943004E-07,1.53524721689842E-21,-3.70576914423756E-22,6.52506444943001E-07,1.05879118406788E-22,1.30312339029424E-06,0,0,0,0,0,0,package://proto_type_5/meshes/thrust4.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_5/meshes/thrust4.STL,,propeller-10,座標系34,thruster_1,rotor4,continuous,0,0,0,0.68472,0.42053,0.32175,t4,0,0,-1,,,,,,,,,,,,
t5,0.0142922441747572,-0.0143000152091604,-0.0177167300546501,0,0,0,0.0993924873704979,7.91541243410934E-05,-6.13947103527992E-08,-3.78172056207648E-06,7.91363117743883E-05,3.80401853537312E-06,7.67197078218795E-05,0,0,0,0,0,0,package://proto_type_5/meshes/t5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_5/meshes/t5.STL,,CFMX141-8,座標系5,thruster_4,l5,fixed,-0.10964,0.096917,-0.050214,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
